FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
1411K-1-R-3--C-59,1411K-1,female,2021-01-13,Kawanda
401K-1-R-4--C-61,401K-1,female,2021-01-13,Kawanda
401K-1-R-8--C-38,401K-1,female,2021-01-13,Kawanda
1747K-1-r5-c2,1747K-1,female,2021-01-13,Kawanda
222K-1-r3-c9,222K-1,female,2021-01-13,Kawanda
1747K-1-r1-c4,1747K-1,female,2021-01-14,Kawanda
enz-r5-c8,ITC1354-Enzirabahima,female,2021-01-15,Kawanda
401K-1-R-1--C-61,401K-1,female,2021-01-18,Kawanda
401K-1-r1-c28,401K-1,female,2021-01-18,Kawanda
222K-1-R-2--C-20,222K-1,female,2021-01-19,Kawanda
376K-1-R-6--C-11,376K-1,female,2021-01-19,Kawanda
Enzirabahima-r6-c53,ITC1354-Enzirabahima,female,2021-01-19,Kawanda
376K-1-r7-c22,376K-1,female,2021-01-19,Kawanda
Kabucuragye-R-4-C-16,Kabucuragye,female,2021-01-18,Kawanda
Bitambi-R-1-C-7,Bitambi,female,2021-01-18,Kawanda
Namande-R-3-C-2,Namande,female,2021-01-18,Kawanda
Namande-R-5-C-1,Namande,female,2021-01-18,Kawanda
Kabucuragye-R-4-C-20,Kabucuragye,female,2021-01-20,Kawanda
Kabucuragye-R-3-C-19,Kabucuragye,female,2021-01-20,Kawanda
Namande-R-5-C-1,Namande,female,2021-01-20,Kawanda
1411K-1-R-4--C-58,1411K-1,female,2021-01-21,Kawanda
Nabio1117-R-1--C-57,Nabio1117,female,2021-01-22,Kawanda
Bitambi-R-1-C-5,Bitambi,female,2021-01-22,Kawanda
Namande-R-5-C-1,Namande,female,2021-01-22,Kawanda
Kabucuragye-R-3-C-19,Kabucuragye,female,2021-01-22,Kawanda
1411K-1-R-3--C-60,1411K-1,female,2021-01-24,Kawanda
enz-r6-c5,ITC1354-Enzirabahima,female,2021-01-25,Kawanda
Namande-r4-c46,Namande,female,2021-01-25,Kawanda
Kabucuragye-R-3-C-15,Kabucuragye,female,2021-01-25,Kawanda
401K-1-R-4--C-41,401K-1,female,2021-01-25,Kawanda
660K-1-R-4--C-36,660K-1,female,2021-01-25,Kawanda
1201K-1-R-2--C-46,1201K-1,female,2021-01-25,Kawanda
199K-3-R-1--C-52,199K-3,female,2021-01-26,Kawanda
1201K-1-R-6--C-47,1201K-1,female,2021-01-26,Kawanda
376K-1-r6-c23,376K-1,female,2021-01-26,Kawanda
Kabucuragye-r4-c44,Kabucuragye,female,2021-01-26,Kawanda
Namande-r7-c47,Namande,female,2021-01-26,Kawanda
1201K-1-R-9--C-16,1201K-1,female,2021-01-29,Kawanda
376K-1-R-8--C-14,376K-1,female,2021-01-29,Kawanda
Nakawere-R-3-C-8,Nakawere,female,2021-01-27,Kawanda
Bitambi-R-1-C-5,Bitambi,female,2021-01-27,Kawanda
Nakawere-R-2-C-11,Nakawere,female,2021-01-29,Kawanda
199K-3-R-5--C-53,199K-3,female,2021-01-29,Kawanda
Nakawere-R-1-C-13,Nakawere,female,2021-01-30,Kawanda
IITA-Nakyetengu-R-3-C-23,IITA-Nakyetengu,female,2021-01-30,Kawanda
1201K-1-R-1--C-46,1201K-1,female,2021-01-30,Kawanda
